video_url,format,duration,playlist_url,video_number,video_no,channel_url,playlist_number,playlist_no,channel_title,playlist_title,video_title
https://youtube.com/watch?v=wQ0FnWxuRsI,_UNKNOWN_,299,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,4,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What are Minimum Contacts
https://youtube.com/watch?v=U7jB4dBOmbE,_UNKNOWN_,201,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,5,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What is Removal
https://youtube.com/watch?v=pnkzREoGJKM,_UNKNOWN_,126,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,6,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What is remand?
https://youtube.com/watch?v=ylQdI2eUlMA,_UNKNOWN_,263,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,7,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What are counterclaims in federal court?
https://youtube.com/watch?v=-rQyMv1_17E,_UNKNOWN_,279,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,8,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What are the general pleading requirements in federal courts
https://youtube.com/watch?v=VYCTrPNIE4o,_UNKNOWN_,219,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,9,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What are Rule 9's requirements for pleading special matters?
https://youtube.com/watch?v=NtjpCCsTmSQ,_UNKNOWN_,324,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,10,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What are the pleading requirements of the PSLRA
https://youtube.com/watch?v=Us929e7ofV8,_UNKNOWN_,140,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,11,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What are affirmative defenses?
https://youtube.com/watch?v=G4VJwJ295pg,_UNKNOWN_,228,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,12,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What is an Answer to the Complaint?
https://youtube.com/watch?v=kbNemv6DKpU,_UNKNOWN_,257,https://www.youtube.com/playlist?list=PLRXyknBDMNN20dypjtwUqxlJqkacsHTUf,42,13,https://www.youtube.com/channel/UCg2hOhwtHaLnk6CvMzNtIrA,20,8,USLawEssentials,Civil Procedure,What is Discovery: Discovery & Settlement
